49.00515;8.394922
49.005263;8.394933
49.005391;8.39499
49.005382;8.395149
49.005441;8.395279
49.005396;8.395417
49.005335;8.395555
49.005322;8.39571
49.005299;8.395853
49.005348;8.395991
49.005339;8.396136
49.005336;8.396305
49.005368;8.396449
49.005352;8.396617
49.005309;8.39676
49.005345;8.397076
49.005427;8.397342
49.005397;8.397497
49.005341;8.397753
49.005349;8.397906
49.005346;8.398085
49.005453;8.398133
49.005632;8.397988
49.005726;8.397952
49.005831;8.397974
49.006027;8.398077
49.006112;8.398149
49.006223;8.398284
49.006314;8.398336
49.006387;8.39845
49.006419;8.398614
49.006467;8.398744
49.006478;8.398892
49.00651;8.399036
49.006548;8.399273
49.006572;8.399423
49.006543;8.399554
49.006487;8.399679
49.00645;8.399827
49.006366;8.40003
49.006306;8.40015
49.006289;8.40033
49.006366;8.400459
49.00645;8.400514
49.006531;8.400599
49.006635;8.400634
49.006731;8.400697
49.006935;8.400797
49.007013;8.400882
49.007207;8.400987
49.007299;8.401013
49.007389;8.401078
49.007488;8.40116
49.007598;8.401188
